City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Kabul,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9,282.6,253.2,182.4
Baku,89.9,89.0,124.0,195.0,257.3,294.0,313.1,282.1,222.0,145.7,93.0,102.3
Beirut,133,148,194,246,312,352,361,333,288,246,202,149
Dhaka,279,226,217,180,155,90,62,62,90,186,240,279
Beijing,194.1,194.7,231.8,251.9,283.4,261.4,212.4,220.9,232.1,222.1,185.3,180.7
Chongqing,48.0,56.0,81.0,111.0,139.0,128.0,221.0,222.0,123.0,63.0,47.0,54.0
Fuzhou,101.6,79.2,89.1,111.0,114.4,141.9,225.6,199.2,153.7,144.2,120.3,126.9
Guangzhou,118.5,71.6,62.4,65.1,104.0,140.2,202.0,173.5,170.2,181.8,172.7,166.0
Hong Kong,143.0,94.2,90.8,101.7,140.4,146.1,212.0,188.9,172.3,193.9,180.1,172.2
Lhasa,250.9,226.7,246.1,248.9,276.6,257.3,227.4,219.6,229.0,281.7,267.4,258.6
Macau,127.4,79.4,71.5,85.3,136.4,155.3,223.2,195.4,176.5,192.3,172.2,159.1
Nanjing,124.7,120.3,144.7,169.2,194.2,162.8,196.7,201.6,164.0,164.2,147.4,137.1
Ningbo,123.7,108.4,121.7,142.4,156.7,147.8,243.8,238.0,171.5,166.5,143.4,146.1
Qingdao,186.0,180.8,220.1,222.0,244.9,219.0,182.9,223.2,219.0,220.1,189.0,182.9
Shanghai,114.3,119.9,128.5,148.5,169.8,130.9,190.8,185.7,167.5,161.4,131.1,127.4
Tianjin,170.1,170.2,202.4,223.8,249.0,226.9,206.4,204.4,205.3,196.1,163.0,157.6
Ürümqi,101.6,128.8,180.5,248.0,283.3,282.7,298.7,301.0,262.6,224.4,127.4,84.3
Wuhan,101.9,97.0,121.8,152.8,181.0,170.9,220.2,226.4,175.8,151.9,139.3,126.5
Xiamen,133.3,88.3,89.6,105.6,132.6,163.8,234.6,211.6,178.9,188.4,163.0,163.5
Delhi,214.6,216.1,239.1,261.0,263.1,196.5,165.9,177.0,219.0,269.3,247.2,215.8
Kolkata,203.9,201.2,225.8,235.4,227.1,123.1,93.1,104.9,116.2,182.6,190.8,203.4
Mumbai,269.5,257.6,274.3,283.7,296.2,148.6,73.4,75.9,165.1,240.2,245.8,253.2
Bangalore,262.0,248.0,271.0,257.0,241.0,137.0,112.0,114.0,144.0,173.0,190.0,212.0
Chennai,232.5,240.1,291.4,294.0,300.7,234.0,142.6,189.1,195.0,257.3,261.0,210.8
Denpasar,173.1,174.0,210.7,224.7,242.9,228.1,246.8,261.7,251.3,252.5,224.4,176.4
Jakarta,189.1,180.8,238.7,255.0,260.4,255.0,282.1,294.5,300.7,279.0,231.0,217.0
Makassar,155,168,186,240,248,241,270,298,300,305,280,158
Medan,129.6,141.0,153.1,131.2,134.8,157.9,153.9,143.9,123.1,116.3,104.8,98.1
Bandar Abbas,220.1,211.9,232.5,242.4,312.7,302.2,264.6,270.1,270.1,283.4,251.2,228.8
Isfahan,205.3,213.3,242.1,244.5,301.3,345.4,347.6,331.2,311.6,276.5,226.1,207.6
Mashhad,148.3,147.5,163.3,200.4,280.4,343.2,366.9,359.7,305.2,249.5,188.3,151.6
